categoria,contador,descripcion,marca,nombre_crudo,precio,tienda,url,volumen
Gaseosas,14,SIN AZUCAR,SPRITE,Sprite S- Azucar Bot X 500 Ml,1156.0,ModoMarket,https://www.modomarket.com/sprite-s-azucar-bot-x-500-ml/p,500
Gaseosas,15,NARANJA,FANTA,Fanta Naranja X 1.5 Lt,2626.0,ModoMarket,https://www.modomarket.com/fanta-naranja-x-1-5-lt/p,1500
Gaseosas,16,NARANJA,FANTA,Fanta Naranja X 2.250 Lt,3443.0,ModoMarket,https://www.modomarket.com/fanta-naranja-x-2-250-lt/p,2250
Gaseosas,17,,COCA COLA,Coca Cola Botella X 500 Ml,1156.0,ModoMarket,https://www.modomarket.com/coca-cola-botella-x-500-ml/p,500
Arroces,0,ORO,GALLO,Arroz Gallo Oro Bolsa X 1 Kg,2130.0,ModoMarket,https://www.modomarket.com/arroz-gallo-oro-bolsa-x-1-kg/p,1000
Arroces,1,AZUL LARGO FINO,TIO CARLOS,Arroz Tio Carlos Azul Largo Fino X 1 Kg,1355.0,ModoMarket,https://www.modomarket.com/arroz-tio-carlos-azul-largo-fino-x-1-kg/p,1000
Arroces,2,DOBLE CAROLINA,MOCOVI,Arroz Mocovi Doble Carolina X 1 Kg,2140.0,ModoMarket,https://www.modomarket.com/arroz-mocovi-doble-carolina-x-1-kg/p,1000
Arroces,3,AZUL LARGO FINO,TIO CARLOS,Arroz Tio Carlos Azul Largo Fino X 500 Gr,699.0,ModoMarket,https://www.modomarket.com/arroz-tio-carlos-azul-largo-fino-x-500-gr/p,500
Arroces,4,LARGO FINO,DOS HERMANOS,Arroz Dos Hermanos Largo Fino X 1 Kg,1284.0,ModoMarket,https://www.modomarket.com/arroz-dos-hermanos-largo-fino-x-1-kg/p,1000
Arroces,5,ROJO DOBLE CAROLINA,TIO CARLOS,Arroz Tio Carlos Rojo Doble Carolina X 500 Gr,1794.0,ModoMarket,https://www.modomarket.com/arroz-tio-carlos-rojo-doble-carolina-x-500-gr/p,500
Arroces,6,PARBORIZADO,LUCCHETTI,Arroz Lucchetti Parborizado X 500 Gr,927.0,ModoMarket,https://www.modomarket.com/arroz-lucchetti-parborizado-x-500-gr/p,500
Arroces,7,ORO,GALLO,Arroz Gallo Oro X 1 Kg Caja,2701.0,ModoMarket,https://www.modomarket.com/arroz-gallo-oro-x-1-kg-caja/p,1000
Arroces,8,ORO,GALLO,Arroz Gallo Oro X 500 Gr,950.0,ModoMarket,https://www.modomarket.com/arroz-gallo-oro-x-500-gr/p,500
Arroces,9,INTEGRAL,TIO CARLOS,Arroz Tio Carlos Integral X 1 Kg,1501.0,ModoMarket,https://www.modomarket.com/arroz-tio-carlos-integral-x-1-kg/p,1000
Arroces,10,PARBOIL,DOS HERMANOS,Arroz Dos Hermanos Parboil Bolsa 1 K,1522.0,ModoMarket,https://www.modomarket.com/arroz-dos-hermanos-parboil-bolsa-1-k/p,1000
Arroces,11,CARNAROLI RISOTTO,GALLO,Arroz Gallo Carnaroli Risotto X 500 Gr,2536.0,ModoMarket,https://www.modomarket.com/arroz-gallo-carnaroli-risotto-x-500-gr/p,500
Arroces,12,LARGO FINO,LUCCHETTI,Arroz Lucchetti Largo Fino X 1 Kg,1529.0,ModoMarket,https://www.modomarket.com/arroz-lucchetti-largo-fino-x-1-kg/p,1000
Arroces,13,DOBLE CAROLINA,MOCOVI,Arroz Mocovi Doble Carolina X 500 Gr,1069.0,ModoMarket,https://www.modomarket.com/arroz-mocovi-doble-carolina-x-500-gr/p,500
Arroces,14,INTEGRAL YAMANI SIN TACC,GALLO,Arroz Gallo Integral Yamani Sin Tacc X 500 Gr,2321.0,ModoMarket,https://www.modomarket.com/arroz-gallo-integral-yamani-sin-tacc-x-500-gr/p,500
Arroces,15,LARGO FINO,LUCCHETTI,Arroz Lucchetti Largo Fino X 500 Gr,828.0,ModoMarket,https://www.modomarket.com/arroz-lucchetti-largo-fino-x-500-gr/p,500
Arroces,16,INTEGRAL,GALLO,Arroz Gallo Integral Bolsa X 500 Gr,1087.0,ModoMarket,https://www.modomarket.com/arroz-gallo-integral-bolsa-x-500-gr/p,500
Arroces,17,DOBLE CAROLINA,GALLO,Arroz Gallo Doble Carolina X 1 Kg Caja,3587.0,ModoMarket,https://www.modomarket.com/arroz-gallo-doble-carolina-x-1-kg-caja/p,1000
Jabones,0,ORIGINAL BLANCO,DOVE,Jabon Dove Original Blanco X 90 Gr,1439.0,ModoMarket,https://www.modomarket.com/jabon-dove-original-blanco-x-90-gr/p,90
Jabones,2,BAMBOO FRESH 3,REXONA,Jabon Rexona Bamboo Fresh 3 X 125 Gr,2297.0,ModoMarket,https://www.modomarket.com/jabon-rexona-bamboo-fresh-3-x-125-gr/p,125
Jabones,3,SENSIBLE FRESH 3,REXONA,Jabon Rexona Sensible Fresh 3 X 125 Gr,2297.0,ModoMarket,https://www.modomarket.com/jabon-rexona-sensible-fresh-3-x-125-gr/p,125
Jabones,5,CUIDA Y PROTEGE,DOVE,Jabon Dove Cuida Y Protege X 90 Gr,1515.0,ModoMarket,https://www.modomarket.com/jabon-dove-cuida-y-protege-x-90-gr/p,90
Jabones,6,FLOR DE VAINILLA 3,LUX,Jabon Lux Flor De Vainilla 3 X 120g,2372.0,ModoMarket,https://www.modomarket.com/jabon-lux-flor-de-vainilla-3-x-120g/p,120
Jabones,7,PIEL SENSIBLE,DOVE,Jabon Dove Piel Sensible X 90 Gr,1511.0,ModoMarket,https://www.modomarket.com/jabon-dove-piel-sensible-x-90-gr/p,90
Jabones,8,NUTRITIVE ORCHID 3,REXONA,Jabon Rexona Nutritive Orchid 3 X 125 Gr,2297.0,ModoMarket,https://www.modomarket.com/jabon-rexona-nutritive-orchid-3-x-125-gr/p,125
Jabones,9,XTRACOOL 3,REXONA,Jabon Rexona Xtracool 3 X 125 G,2297.0,ModoMarket,https://www.modomarket.com/jabon-rexona-xtracool-3-x-125-g/p,125
